Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
09 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-9AJJ92L-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
09 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-1MCO3US-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-P5IT34M-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-3ILZ0AJ-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,39.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-90TMS0Q-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-KV92RI6-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-44.07,5.07,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
10 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-PHKVQV2-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
10 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-71FRF1S-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124832448695077,124832449195077,Delivered,PK-CALLCOURIER,standard,Dropshipping,124832449195077,,
09 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-UEM6CDV-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
09 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-CDKKM7W-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,40.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124891828765069,124891829165069,Delivered,PK-DEX,standard,Dropshipping,124891829165069,,
